years,n_windows,initial_usd,avg_final_usd,avg_return_pct,median_final_usd,median_return_pct,worst_final_usd,worst_return_pct,best_final_usd,best_return_pct,pct_losing_windows
1,5910,100000,144383,44.4,140947,40.9,7986,-92.0,511454,411.5,24.5
2,5658,100000,196203,96.2,175572,75.6,9778,-90.2,837386,737.4,19.7
3,5406,100000,252649,152.6,257856,157.9,10187,-89.8,1065971,966.0,18.6
4,5154,100000,330933,230.9,290804,190.8,11935,-88.1,1193430,1093.4,19.8
5,4902,100000,488991,389.0,391002,291.0,11659,-88.3,2688293,2588.3,22.6
6,4650,100000,658322,558.3,525114,425.1,25647,-74.4,4093982,3994.0,20.5
7,4398,100000,877739,777.7,725937,625.9,5214,-94.8,4150968,4051.0,12.1
8,4146,100000,1306710,1206.7,870447,770.4,16909,-83.1,6751277,6651.3,6.3
9,3894,100000,1893928,1793.9,1188683,1088.7,27642,-72.4,14599954,14500.0,2.8
10,3642,100000,2432551,2332.6,1744563,1644.6,26016,-74.0,13804179,13704.2,2.7
11,3390,100000,3316591,3216.6,2027315,1927.3,38510,-61.5,19204316,19104.3,2.2
12,3138,100000,4848927,4748.9,2108126,2008.1,79534,-20.5,43372079,43272.1,0.4
13,2886,100000,5755730,5655.7,2319087,2219.1,121924,21.9,69841961,69742.0,0.0
14,2634,100000,5876832,5776.8,3592197,3492.2,115245,15.2,23145755,23045.8,0.0
15,2382,100000,8039067,7939.1,3574658,3474.7,193560,93.6,59040230,58940.2,0.0
16,2130,100000,9581700,9481.7,4262341,4162.3,444643,344.6,66817507,66717.5,0.0
17,1878,100000,10506208,10406.2,4996699,4896.7,338604,238.6,94712319,94612.3,0.0
18,1626,100000,6715806,6615.8,6138373,6038.4,422574,322.6,18179669,18079.7,0.0
19,1374,100000,8303371,8203.4,7400567,7300.6,1501918,1401.9,31670992,31571.0,0.0
20,1122,100000,7851814,7751.8,7792609,7692.6,1965971,1866.0,20963943,20863.9,0.0
