time,open,high,low,close,Volume,Volume MA
1991-12-02,930,930,930,930,,
1992-01-02,850,850,850,850,,
1992-01-03,1084,1084,1084,1084,,
1992-01-06,1050,1050,1050,1050,,
1992-01-07,921,921,921,921,,
1992-01-08,1071,1071,1071,1071,,
1992-01-09,1003,1003,1003,1003,,
1992-01-10,663,663,663,663,,
1992-01-13,791,791,791,791,,
1992-01-14,1259,1259,1259,1259,,
1992-01-15,1139,1139,1139,1139,,
1992-01-16,925,925,925,925,,
1992-01-17,921,921,921,921,,
1992-01-20,748,748,748,748,,
1992-01-21,570,570,570,570,,
1992-01-22,1140,1140,1140,1140,,
1992-01-23,795,795,795,795,,
1992-01-24,910,910,910,910,,
1992-01-27,884,884,884,884,,
1992-01-28,884,884,884,884,,
1992-01-29,653,653,653,653,,
1992-01-30,883,883,883,883,,
1992-01-31,741,741,741,741,,
1992-02-03,918,918,918,918,,
1992-02-04,1107,1107,1107,1107,,
1992-02-05,960,960,960,960,,
1992-02-06,904,904,904,904,,
1992-02-07,710,710,710,710,,
1992-02-11,953,953,953,953,,
1992-02-12,1089,1089,1089,1089,,
1992-02-13,601,601,601,601,,
1992-02-14,794,794,794,794,,
1992-02-18,701,701,701,701,,
1992-02-19,761,761,761,761,,
1992-02-20,1162,1162,1162,1162,,
1992-02-21,736,736,736,736,,
1992-02-24,721,721,721,721,,
1992-02-25,655,655,655,655,,
1992-02-26,1145,1145,1145,1145,,
1992-02-27,910,910,910,910,,
1992-02-28,821,821,821,821,,
1992-03-02,909,909,909,909,,
1992-03-03,924,924,924,924,,
1992-03-04,623,623,623,623,,
1992-03-05,481,481,481,481,,
1992-03-06,615,615,615,615,,
1992-03-09,877,877,877,877,,
1992-03-10,1071,1071,1071,1071,,
1992-03-11,520,520,520,520,,
1992-03-12,617,617,617,617,,
1992-03-13,999,999,999,999,,
1992-03-16,776,776,776,776,,
1992-03-17,1065,1065,1065,1065,,
1992-03-18,909,909,909,909,,
1992-03-19,916,916,916,916,,
1992-03-20,927,927,927,927,,
1992-03-23,697,697,697,697,,
1992-03-24,731,731,731,731,,
1992-03-25,775,775,775,775,,
1992-03-26,773,773,773,773,,
1992-03-27,449,449,449,449,,
1992-03-30,717,717,717,717,,
1992-03-31,904,904,904,904,,
1992-04-01,669,669,669,669,,
1992-04-02,603,603,603,603,,
1992-04-03,675,675,675,675,,
1992-04-06,1040,1040,1040,1040,,
1992-04-07,425,425,425,425,,
1992-04-08,414,414,414,414,,
1992-04-09,1318,1318,1318,1318,,
1992-04-10,1202,1202,1202,1202,,
1992-04-13,967,967,967,967,,
1992-04-14,1232,1232,1232,1232,,
1992-04-15,1106,1106,1106,1106,,
1992-04-16,823,823,823,823,,
1992-04-20,481,481,481,481,,
1992-04-21,778,778,778,778,,
1992-04-22,834,834,834,834,,
1992-04-23,831,831,831,831,,
1992-04-24,811,811,811,811,,
1992-04-27,796,796,796,796,,
1992-04-29,1095,1095,1095,1095,,
1992-04-30,1190,1190,1190,1190,,
1992-05-01,798,798,798,798,,
1992-05-04,1164,1164,1164,1164,,
1992-05-05,941,941,941,941,,
1992-05-06,1016,1016,1016,1016,,
1992-05-07,817,817,817,817,,
1992-05-08,850,850,850,850,,
1992-05-12,735,735,735,735,,
1992-05-14,542,542,542,542,,
1992-05-29,980,980,980,980,,
1992-06-01,961,961,961,961,,
1992-06-02,812,812,812,812,,
1992-06-03,848,848,848,848,,
1992-06-04,758,758,758,758,,
1992-06-05,798,798,798,798,,
1992-06-08,820,820,820,820,,
1992-06-09,560,560,560,560,,
1992-06-10,583,583,583,583,,
1992-06-11,785,785,785,785,,
1992-06-12,1023,1023,1023,1023,,
1992-06-15,749,749,749,749,,
1992-06-16,761,761,761,761,,
1992-06-17,383,383,383,383,,
1992-06-18,589,589,589,589,,
1992-06-19,1017,1017,1017,1017,,
1992-06-22,608,608,608,608,,
1992-06-23,992,992,992,992,,
1992-06-24,867,867,867,867,,
1992-06-25,851,851,851,851,,
1992-06-26,854,854,854,854,,
1992-06-29,1227,1227,1227,1227,,
