horizon_years,n_windows,qqq_pct,stock_pct,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75
1,3774,18,82,0.291819,0.314618,0.277082,0.090129,0.46972,12918.189368,13146.181006,2770.823071,10901.285145,14697.200312,0.292103,0.314838,0.277356,0.090193,0.470254,-0.202321,-0.178018,0.092955,-0.302151,-0.123898,1.10835,1.216877,0.922777,0.460544,1.790248
1,3774,19,81,0.290569,0.31344,0.275347,0.090513,0.467233,12905.691819,13134.397922,2753.471035,10905.131851,14672.333411,0.290852,0.313772,0.275619,0.090578,0.467746,-0.201462,-0.176532,0.092516,-0.302386,-0.123303,1.109298,1.219359,0.921844,0.462844,1.790196
1,3774,20,80,0.289319,0.312314,0.273617,0.091119,0.465122,12893.194271,13123.138172,2736.173165,10911.19368,14651.218738,0.2896,0.312723,0.273888,0.091183,0.465505,-0.200607,-0.174952,0.092079,-0.302681,-0.122687,1.110245,1.220102,0.920894,0.466463,1.790208
1,3774,21,79,0.28807,0.311405,0.271893,0.091187,0.462966,12880.696723,13114.046742,2718.930492,10911.868025,14629.656967,0.288349,0.311646,0.272161,0.091252,0.462646,-0.199755,-0.173589,0.091643,-0.302995,-0.122093,1.111192,1.219972,0.919928,0.469379,1.789564
1,3774,22,78,0.28682,0.310539,0.270174,0.091454,0.460411,12868.199174,13105.394686,2701.744076,10914.536203,14604.11053,0.287098,0.310912,0.270441,0.091519,0.460504,-0.198908,-0.172472,0.091209,-0.303299,-0.121499,1.112138,1.22203,0.918944,0.469804,1.786861
1,3774,23,77,0.28557,0.309535,0.268461,0.091563,0.458119,12855.701626,13095.346683,2684.614995,10915.630642,14581.193765,0.285846,0.309824,0.268726,0.091694,0.458395,-0.198076,-0.172214,0.090771,-0.302782,-0.1209,1.113082,1.22278,0.917943,0.47036,1.782809
1,3774,24,76,0.28432,0.308024,0.266754,0.091511,0.455702,12843.204078,13080.241089,2667.544355,10915.11398,14557.024253,0.284595,0.308306,0.267017,0.091774,0.456093,-0.197245,-0.172353,0.090337,-0.301177,-0.120302,1.114024,1.225006,0.916925,0.470612,1.781737
1,3774,25,75,0.283071,0.306561,0.265053,0.091704,0.453593,12830.706529,13065.609422,2650.533284,10917.035224,14535.931202,0.283344,0.306943,0.265314,0.091573,0.453892,-0.196415,-0.171458,0.089909,-0.300043,-0.11971,1.114963,1.223748,0.915889,0.469888,1.780259
1,3774,26,74,0.281821,0.305601,0.263358,0.0916,0.45112,12818.208981,13056.008057,2633.582937,10915.99711,14511.203534,0.282092,0.305168,0.263617,0.091862,0.45148,-0.195586,-0.170499,0.089486,-0.299673,-0.119066,1.115898,1.227471,0.914836,0.472209,1.781081
1,3774,27,73,0.280571,0.304515,0.261669,0.092195,0.448618,12805.711432,13045.154784,2616.694494,10921.950152,14486.184806,0.280841,0.304471,0.261927,0.092444,0.448986,-0.194759,-0.169478,0.089067,-0.29924,-0.118314,1.116829,1.228998,0.913765,0.473875,1.781102
1,3774,28,72,0.279321,0.30355,0.259987,0.092648,0.446912,12793.213884,13035.504635,2599.869161,10926.478941,14469.120742,0.27959,0.30362,0.260242,0.092764,0.447089,-0.193932,-0.168043,0.088654,-0.298125,-0.117693,1.117755,1.229907,0.912677,0.474641,1.779823
1,3774,29,71,0.278072,0.302784,0.258311,0.09216,0.445219,12780.716336,13027.835265,2583.108172,10921.604359,14452.19278,0.278339,0.302513,0.258564,0.092226,0.445201,-0.193122,-0.166127,0.088233,-0.295001,-0.117012,1.118675,1.230515,0.911571,0.474453,1.77923
1,3774,30,70,0.276822,0.301445,0.256641,0.090831,0.442995,12768.218787,13014.452365,2566.412786,10908.310751,14429.951399,0.277087,0.301212,0.256893,0.091091,0.443123,-0.19232,-0.164321,0.08781,-0.294552,-0.116445,1.119587,1.230653,0.910448,0.475941,1.779398
1,3774,31,69,0.275572,0.3002,0.254978,0.090438,0.440675,12755.721239,13002.004095,2549.784294,10904.38394,14406.749788,0.275836,0.300407,0.255228,0.090614,0.440939,-0.191519,-0.1628,0.087392,-0.294615,-0.116147,1.120493,1.233774,0.909306,0.476971,1.778499
1,3774,32,68,0.274322,0.299395,0.253322,0.089,0.437995,12743.223691,12993.95196,2533.224012,10890.002705,14379.948202,0.274585,0.299695,0.253571,0.089319,0.438867,-0.190717,-0.161043,0.086982,-0.29468,-0.115573,1.121389,1.233665,0.908147,0.473755,1.778473
1,3774,33,67,0.273073,0.29836,0.251673,0.088813,0.435743,12730.726142,12983.596112,2516.733287,10888.134863,14357.428751,0.273334,0.298363,0.25192,0.088977,0.436825,-0.189914,-0.159576,0.086578,-0.294729,-0.114987,1.122277,1.233349,0.90697,0.474338,1.77764
1,3774,34,66,0.271823,0.29681,0.250031,0.088229,0.433625,12718.228594,12968.101676,2500.313494,10882.292635,14336.250426,0.272082,0.297516,0.250276,0.088292,0.4342,-0.189115,-0.158225,0.086177,-0.294753,-0.114384,1.123153,1.233692,0.905775,0.47339,1.777812
1,3774,35,65,0.270573,0.295822,0.248397,0.088659,0.43118,12705.731045,12958.215791,2483.966041,10886.59301,14311.798334,0.270831,0.29625,0.248639,0.088723,0.431317,-0.18832,-0.156668,0.085779,-0.292398,-0.113786,1.124019,1.233154,0.904561,0.479253,1.779787
