Date,Close,High,Low,Open,Volume
2016-08-17,10.980527877807617,11.235888849981732,10.980527877807617,11.108208363894674,271519
2016-08-18,10.9166898727417,11.235891153397247,10.852849616610591,11.235891153397247,1767366
2016-08-19,11.108209609985352,11.108209609985352,10.89115241218439,10.903920635777423,4735900
2016-08-22,11.146514892578125,11.64446869795667,10.878384785687814,10.980529712278445,2245909
2016-08-23,11.491252899169922,11.721077471207568,11.108210499506725,11.17205075482388,1483020
2016-08-24,11.6444673538208,12.76805621005893,11.516786861141023,12.76805621005893,2525979
2016-08-25,11.595952033996582,11.810454586157693,11.516789727021614,11.810454586157693,371646
2016-08-26,11.68277359008789,11.733845624255018,11.61637951179046,11.733845624255018,223415
2016-08-29,11.823222160339355,12.00197557892613,11.695542510686442,11.695542510686442,1390019
2016-08-30,11.529557228088379,11.938135258501319,11.376341117503808,11.810454732467322,4805026
2016-08-31,11.409536361694336,11.51678805609433,11.235890595949538,11.427411354840922,9033877
2016-09-01,11.108209609985352,12.142421836857828,11.108209609985352,12.142421836857828,9048130
2016-09-02,10.975423812866211,11.212908985404296,10.903922098259182,11.212908985404296,8127033
2016-09-06,11.60616397857666,11.810452963179216,10.730276291274572,11.044369921739811,56316264
2016-09-07,12.257336616516113,12.609734948787317,11.49636028132633,11.509128506622595,147907159
2016-09-08,12.847220420837402,12.995330622864575,12.362033922583686,12.37224919726724,41159318
2016-09-09,12.533126831054688,12.811470506054617,12.290533146616724,12.724647612814968,26618101
2016-09-12,12.614842414855957,12.691450030073527,12.183281785811435,12.272657626152036,13989272
2016-09-13,12.385016441345215,12.676128337623595,12.259889740744986,12.290532961233186,18045663
2016-09-14,12.34671401977539,12.415661051833876,12.257337305438444,12.35692842703444,17208658
2016-09-15,12.484606742858887,12.520358466065833,12.262442758018047,12.287979207302852,17208302
2016-09-16,12.37735366821289,12.51014180131458,12.287977841173069,12.418212156078146,17786615
2016-09-19,12.451409339904785,12.48460550582141,12.298192394897994,12.318621205197541,16264400
2016-09-20,12.44374942779541,12.497376146179722,12.30074773797156,12.433535889139716,12000986
2016-09-21,12.36458683013916,12.512696143097717,12.326282158867677,12.354371556925262,14885427
2016-09-22,12.264995574951172,12.448855738611234,12.234352358967861,12.382461670100628,17054370
2016-09-23,12.259889602661133,12.377355713756366,12.21137138770803,12.224139613041054,7449305
2016-09-26,12.229248046875,12.27265862741847,12.175622191191446,12.185835730810776,10128504
2016-09-27,12.203709602355957,12.252228683759379,12.167959613701115,12.201156651566535,9831330
2016-09-28,12.221587181091309,12.2854265749463,12.137317237419525,12.226693083024797,8013722
2016-09-29,12.147529602050781,12.239460118686074,12.13220756002483,12.157744007481346,5912124
2016-09-30,12.206263542175293,12.282871151899366,12.144976239531694,12.201155905388225,6165827
2016-10-03,12.239460945129395,12.270104163490206,12.152638059226959,12.162851597586961,5345926
2016-10-04,12.221587181091309,12.257337172229276,12.160299870442707,12.21392572491001,5993010
2016-10-05,12.37735366821289,12.476944768039157,12.12965412938579,12.190940559543412,6621209
2016-10-06,12.356926918029785,12.402891311202234,12.24967435326671,12.377354862292894,5139258
2016-10-07,12.275211334228516,12.377355398772655,12.242014296311595,12.356927453624124,3515134
2016-10-10,12.13476276397705,12.359479693040074,12.091350454344113,12.275210627701378,5420398
2016-10-11,12.037723541259766,12.188386665277072,11.99175828504834,12.042831177621112,6247425
2016-10-12,12.030064582824707,12.116887470638256,11.940688744245099,11.991759908210343,5851549
2016-10-13,12.035171508789062,12.116886754721834,11.91004395375421,11.976438024954705,4783291
2016-10-14,12.063261985778809,12.157746338829954,11.999422590416202,12.060709034751776,5453179
2016-10-17,12.101566314697266,12.170514213403177,12.009636650849735,12.068369274701125,4813222
2016-10-18,12.175620079040527,12.206263295863852,12.001974315948125,12.142422176114977,5366949
