Year,Report Date,Filing Date,Holding,Ticker,Value ($),Source Filing
1996,1995-12-31,1996-03-04,General Electric Co.,GE,26258112,SPY/1996-03-04_0000912057-96-003840_0000912057-96-003840.txt
1997,1996-12-31,1997-02-26,General Electric Co.,GE,58004524,SPY/1997-02-26_0000912057-97-006798_0000912057-97-006798.txt
1998,1997-09-30,1997-12-01,General Electric Co.,GE,123040937,SPY/1997-12-01_0000950135-97-004820_0000950135-97-004820.txt
1999,1998-09-30,1998-12-21,Microsoft Corp.,MSFT,269368283,SPY/1998-12-21_0000950135-98-006321_0000950135-98-006321.txt
2000,1999-09-30,1999-11-29,Microsoft Corp.,MSFT,576169945,SPY/1999-11-29_0000950135-99-005434_0000950135-99-005434.txt
2001,2000-09-30,2000-11-21,General Electric Co.,GE,1098621979,SPY/2000-11-21_0000950135-00-005227_b37488ssn-30d.txt
