ticker,yfinance_ticker,first_membership_date,last_membership_date,membership_snapshots,first_report_date,last_report_date,reports_held,status,rows,first_price_date,last_price_date,output_file,error
AABA,AABA,1999-12-08,2017-06-16,1930,2000-09-30,2017-03-31,25,unavailable,0,,,,No price data returned by Yahoo Finance
AAMRQ,AAMRQ,1996-01-02,2003-03-10,839,1995-12-31,2002-09-30,8,unavailable,0,,,,No price data returned by Yahoo Finance
ABC,ABC,2001-08-30,2023-08-25,1992,2001-09-30,2023-03-31,36,unavailable,0,,,,No price data returned by Yahoo Finance
ABKFQ,ABKFQ,2000-12-11,2008-06-10,798,2001-09-30,2007-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
ABMD,ABMD,2018-05-31,2022-12-19,144,2018-09-30,2022-09-30,9,unavailable,0,,,,No price data returned by Yahoo Finance
ACAS,ACAS,2007-07-09,2009-03-02,212,2007-09-30,2008-09-30,2,unavailable,0,,,,No price data returned by Yahoo Finance
ACKH,ACKH,1996-01-02,2000-11-08,595,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
ACS,ACS,2004-04-02,2010-02-02,670,2004-09-30,2009-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
ADS,ADS,2013-12-23,2020-05-22,611,2014-03-31,2020-03-31,13,unavailable,0,,,,No price data returned by Yahoo Finance
AET,AET,1996-01-02,2018-11-28,2580,1995-12-31,2018-09-30,33,unavailable,0,,,,No price data returned by Yahoo Finance
AFS.A,AFS-A,1998-04-08,2000-11-29,341,1998-09-30,2000-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
AGC,AGC,1996-01-02,2001-08-20,678,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
AGN,AGN,1996-01-02,2020-04-06,2620,1995-12-31,2020-03-31,36,unavailable,0,,,,No price data returned by Yahoo Finance
AHM,AHM,1996-01-02,1998-09-30,326,1995-12-31,1998-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
AKS,AKS,2008-07-01,2011-12-14,384,2008-09-30,2011-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
AL,AL,1996-01-02,2002-07-18,779,1995-12-31,2001-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
ALTR,ALTR,2000-04-18,2015-12-21,1704,2000-09-30,2015-09-30,22,unavailable,0,,,,No price data returned by Yahoo Finance
ALXN,ALXN,2012-05-25,2021-06-04,794,2012-09-30,2021-03-31,18,unavailable,0,,,,No price data returned by Yahoo Finance
AMCC,AMCC,2001-01-02,2006-05-10,544,2001-09-30,2005-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
ANDV,ANDV,2007-09-27,2018-09-24,1244,2007-09-30,2018-09-30,21,unavailable,0,,,,No price data returned by Yahoo Finance
ANDW,ANDW,1996-01-02,2006-09-28,1198,1995-12-31,2006-09-30,12,unavailable,0,,,,No price data returned by Yahoo Finance
ANRZQ,ANRZQ,2011-06-02,2012-10-01,144,2011-09-30,2012-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
ANSS,ANSS,2017-06-19,2025-07-09,278,2017-09-30,2025-03-31,16,unavailable,0,,,,No price data returned by Yahoo Finance
ANTM,ANTM,2002-07-25,2022-06-21,1872,2002-09-30,2022-03-31,33,unavailable,0,,,,No price data returned by Yahoo Finance
APCC,APCC,2000-06-01,2007-02-14,706,2000-09-30,2006-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
APOL,APOL,2002-05-15,2013-06-27,1199,2002-09-30,2013-03-31,15,unavailable,0,,,,No price data returned by Yahoo Finance
ARC,ARC,1996-01-02,2000-04-10,523,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
ARG,ARG,2009-09-09,2016-05-20,728,2009-09-30,2016-03-31,14,unavailable,0,,,,No price data returned by Yahoo Finance
ARNC,ARNC,1996-01-02,2020-04-03,2619,1995-12-31,2020-03-31,36,unavailable,0,,,,No price data returned by Yahoo Finance
ASN,ASN,2004-12-20,2007-10-04,317,2005-09-30,2007-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
AT,AT,1996-01-02,2007-11-16,1344,1995-12-31,2007-09-30,13,unavailable,0,,,,No price data returned by Yahoo Finance
